model,accuracy,precision,recall,f1,roc_auc,pr_auc,C,class_weight
Logistic Regression,0.6848870154101306,0.10674974039460021,0.6649417852522639,0.18396564065855406,0.749022718305068,0.13734409957190172,,
Random Forest,0.9437495681017207,0.09803921568627451,0.00646830530401035,0.012135922330097087,0.641806331629418,0.08202322755370567,,
Majority Baseline,0.9465828208140419,0.0,0.0,0.0,0.5,0.053417179185958126,,
Logistic Regression 1,,0.10448061080972473,0.6727037516170763,0.1808695652173913,0.7480188985200434,0.13513622776683046,0.01,balanced
Logistic Regression 2,,0.10522055847834885,0.6727037516170763,0.18197725284339458,0.7509425271854875,0.1380044018687427,0.1,balanced
Logistic Regression 3,,0.10674974039460021,0.6649417852522639,0.18396564065855406,0.749022718305068,0.13734409957190172,1.0,balanced
Logistic Regression 4,,0.10734220695577501,0.6468305304010349,0.18412815319462345,0.7449587072984659,0.13527438202663367,10.0,balanced
