feature
numeric__item_count
numeric__product_count
numeric__seller_count
numeric__total_price
numeric__total_freight
numeric__payment_count
numeric__payment_value
numeric__max_installments
numeric__purchase_hour
numeric__purchase_dayofweek
numeric__purchase_month
numeric__purchase_day
numeric__purchase_weekofyear
numeric__is_weekend
numeric__estimated_delivery_days
categorical__customer_state_AC
categorical__customer_state_AL
categorical__customer_state_AM
categorical__customer_state_AP
categorical__customer_state_BA
categorical__customer_state_CE
categorical__customer_state_DF
categorical__customer_state_ES
categorical__customer_state_GO
categorical__customer_state_MA
categorical__customer_state_MG
categorical__customer_state_MS
categorical__customer_state_MT
categorical__customer_state_PA
categorical__customer_state_PB
categorical__customer_state_PE
categorical__customer_state_PI
categorical__customer_state_PR
categorical__customer_state_RJ
categorical__customer_state_RN
categorical__customer_state_RO
categorical__customer_state_RR
categorical__customer_state_RS
categorical__customer_state_SC
categorical__customer_state_SE
categorical__customer_state_SP
categorical__customer_state_TO
